designStorm,loadingRatio,depth,probabilityOfFailure,reliability
1.1,0.16,24,0.0049,0.9951
1.2,0.16,24,0.0194,0.9806
1.3,0.16,24,0.050039505,0.949960495
1.4,0.16,24,0.094827586,0.905172414
1.5,0.16,24,0.153185721,0.846814279
1.6,0.16,24,0.216402481,0.783597519
1.7,0.16,24,0.325301205,0.674698795
1.8,0.16,24,0.384136858,0.615863142
1.9,0.16,24,0.468131868,0.531868132
2,0.16,24,0.576271186,0.423728814
2.1,0.16,24,0.63362069,0.36637931
2.2,0.16,24,0.655660377,0.344339623
2.3,0.16,24,0.668341709,0.331658292
2.4,0.16,24,0.761904762,0.238095238
2.5,0.16,24,0.79245283,0.20754717
2.6,0.16,24,0.8,0.2
2.7,0.16,24,0.806122449,0.193877551
2.8,0.16,24,0.815217391,0.184782609
2.9,0.16,24,0.886792453,0.113207547
3,0.16,24,0.895833333,0.104166667
3.1,0.16,24,0.918918919,0.081081081
3.2,0.16,24,0.918918919,0.081081081
3.3,0.16,24,0.918918919,0.081081081
3.4,0.16,24,0.933333333,0.066666667
3.5,0.16,24,0.933333333,0.066666667
3.6,0.16,24,0.952380952,0.047619048
3.7,0.16,24,0.952380952,0.047619048
3.8,0.16,24,0.952380952,0.047619048
3.9,0.16,24,0.952380952,0.047619048
4,0.16,24,0.952380952,0.047619048
4.1,0.16,24,0.952380952,0.047619048
4.2,0.16,24,0.952380952,0.047619048
4.3,0.16,24,0.952380952,0.047619048
4.4,0.16,24,0.952380952,0.047619048
4.5,0.16,24,0.952380952,0.047619048
4.6,0.16,24,0.952380952,0.047619048
4.7,0.16,24,0.952380952,0.047619048
4.8,0.16,24,0.952380952,0.047619048
4.9,0.16,24,0.952380952,0.047619048
5,0.16,24,0.952380952,0.047619048
0.1,0.16,30,0,1
0.2,0.16,30,0,1
0.3,0.16,30,0,1
0.4,0.16,30,0,1
0.5,0.16,30,0,1
0.6,0.16,30,0,1
0.7,0.16,30,0,1
0.8,0.16,30,0,1
0.9,0.16,30,0,1
1,0.16,30,0.0002,0.9998
1.1,0.16,30,0.0006,0.9994
1.2,0.16,30,0.0044,0.9956
1.3,0.16,30,0.0148,0.9852
1.4,0.16,30,0.044842524,0.955157476
1.5,0.16,30,0.078863005,0.921136995
1.6,0.16,30,0.133410227,0.866589773
1.7,0.16,30,0.203573708,0.796426292
1.8,0.16,30,0.300213675,0.699786325
1.9,0.16,30,0.348,0.652
2,0.16,30,0.469162996,0.530837004
2.1,0.16,30,0.47826087,0.52173913
2.2,0.16,30,0.612648221,0.387351779
2.3,0.16,30,0.63876652,0.36123348
2.4,0.16,30,0.670050761,0.329949239
2.5,0.16,30,0.711656442,0.288343558
2.6,0.16,30,0.783783784,0.216216216
2.7,0.16,30,0.796116505,0.203883495
2.8,0.16,30,0.835443038,0.164556962
2.9,0.16,30,0.849315068,0.150684932
3,0.16,30,0.877192982,0.122807018
3.1,0.16,30,0.895833333,0.104166667
3.2,0.16,30,0.906976744,0.093023256
3.3,0.16,30,0.918918919,0.081081081
3.4,0.16,30,0.933333333,0.066666667
3.5,0.16,30,0.952380952,0.047619048
3.6,0.16,30,0.952380952,0.047619048
3.7,0.16,30,0.952380952,0.047619048
3.8,0.16,30,0.952380952,0.047619048
3.9,0.16,30,0.952380952,0.047619048
4,0.16,30,0.952380952,0.047619048
4.1,0.16,30,0.952380952,0.047619048
4.2,0.16,30,0.952380952,0.047619048
4.3,0.16,30,0.952380952,0.047619048
4.4,0.16,30,0.952380952,0.047619048
4.5,0.16,30,0.952380952,0.047619048
4.6,0.16,30,0.952380952,0.047619048
4.7,0.16,30,0.952380952,0.047619048
4.8,0.16,30,0.952380952,0.047619048
4.9,0.16,30,0.952380952,0.047619048
5,0.16,30,0.952380952,0.047619048
0.1,0.33,12,0,1
0.2,0.33,12,0,1
0.3,0.33,12,0,1
0.4,0.33,12,0,1
0.5,0.33,12,0,1
0.6,0.33,12,0,1
0.7,0.33,12,0,1
0.8,0.33,12,0,1
0.9,0.33,12,0,1
1,0.33,12,0,1
1.1,0.33,12,0,1
1.2,0.33,12,0,1
1.3,0.33,12,0,1
1.4,0.33,12,0,1
1.5,0.33,12,0,1
1.6,0.33,12,0,1
1.7,0.33,12,0,1
1.8,0.33,12,0,1
1.9,0.33,12,0,1
2,0.33,12,0,1
2.1,0.33,12,0,1
2.2,0.33,12,0.0004,0.9996
2.3,0.33,12,0.002,0.998
2.4,0.33,12,0.0086,0.9914
2.5,0.33,12,0.0313,0.9687
2.6,0.33,12,0.062688064,0.937311936
2.7,0.33,12,0.10591716,0.89408284
2.8,0.33,12,0.168864097,0.831135903
2.9,0.33,12,0.243961353,0.756038647
3,0.33,12,0.28528827,0.71471173
3.1,0.33,12,0.370044053,0.629955947
3.2,0.33,12,0.438596491,0.561403509
3.3,0.33,12,0.485849057,0.514150943
3.4,0.33,12,0.523287671,0.476712329
3.5,0.33,12,0.550151976,0.449848024
3.6,0.33,12,0.600151976,0.399848024
3.7,0.33,12,0.640151976,0.359848024
3.8,0.33,12,0.663414634,0.336585366
3.9,0.33,12,0.683414634,0.316585366
4,0.33,12,0.69273743,0.30726257
4.1,0.33,12,0.72273743,0.27726257
4.2,0.33,12,0.74273743,0.25726257
4.3,0.33,12,0.761904762,0.238095238
4.4,0.33,12,0.788990826,0.211009174
4.5,0.33,12,0.788990826,0.211009174
4.6,0.33,12,0.849315068,0.150684932
4.7,0.33,12,0.825581395,0.174418605
4.8,0.33,12,0.825581395,0.174418605
4.9,0.33,12,0.842105263,0.157894737
5,0.33,12,0.868852459,0.131147541
0.1,0.33,18,0,1
0.2,0.33,18,0,1
0.3,0.33,18,0,1
0.4,0.33,18,0,1
0.5,0.33,18,0,1
0.6,0.33,18,0,1
0.7,0.33,18,0,1
0.8,0.33,18,0,1
0.9,0.33,18,0,1
1,0.33,18,0,1
1.1,0.33,18,0,1
1.2,0.33,18,0,1
1.3,0.33,18,0,1
1.4,0.33,18,0,1
1.5,0.33,18,0,1
1.6,0.33,18,0,1
1.7,0.33,18,0,1
1.8,0.33,18,0,1
1.9,0.33,18,0,1
2,0.33,18,0,1
2.1,0.33,18,0,1
2.2,0.33,18,0,1
2.3,0.33,18,0,1
2.4,0.33,18,0.0011,0.9989
2.5,0.33,18,0.0071,0.9929
2.6,0.33,18,0.0212,0.9788
2.7,0.33,18,0.048915137,0.951084863
2.8,0.33,18,0.089351285,0.910648715
2.9,0.33,18,0.144481887,0.855518113
3,0.33,18,0.200501253,0.799498747
3.1,0.33,18,0.245728234,0.754271766
3.2,0.33,18,0.306167401,0.693832599
3.3,0.33,18,0.34152652,0.65847348
3.4,0.33,18,0.412587413,0.587412587
3.5,0.33,18,0.488095238,0.511904762
3.6,0.33,18,0.492753623,0.507246377
3.7,0.33,18,0.542772861,0.457227139
3.8,0.33,18,0.578231293,0.421768708
3.9,0.33,18,0.578231293,0.421768708
4,0.33,18,0.670050761,0.329949239
4.1,0.33,18,0.682795699,0.317204301
4.2,0.33,18,0.719745223,0.280254777
4.3,0.33,18,0.709090909,0.290909091
4.4,0.33,18,0.742857143,0.257142857
4.5,0.33,18,0.761904762,0.238095238
4.6,0.33,18,0.742857143,0.257142857
4.7,0.33,18,0.849315068,0.150684932
4.8,0.33,18,0.806122449,0.193877551
4.9,0.33,18,0.886792453,0.113207547
5,0.33,18,0.933333333,0.066666667
0.1,0.33,24,0,1
0.2,0.33,24,0,1
0.3,0.33,24,0,1
0.4,0.33,24,0,1
0.5,0.33,24,0,1
0.6,0.33,24,0,1
0.7,0.33,24,0,1
0.8,0.33,24,0,1
0.9,0.33,24,0,1
1,0.33,24,0,1
1.1,0.33,24,0,1
1.2,0.33,24,0,1
1.3,0.33,24,0,1
1.4,0.33,24,0,1
1.5,0.33,24,0,1
1.6,0.33,24,0,1
1.7,0.33,24,0,1
1.8,0.33,24,0,1
1.9,0.33,24,0,1
2,0.33,24,0,1
2.1,0.33,24,0,1
2.2,0.33,24,0,1
2.3,0.33,24,0,1
2.4,0.33,24,0.0003,0.9997
2.5,0.33,24,0.0016,0.9984
2.6,0.33,24,0.0059,0.9941
2.7,0.33,24,0.0167,0.9833
2.8,0.33,24,0.0344,0.9656
2.9,0.33,24,0.063120687,0.936879313
3,0.33,24,0.106011253,0.893988747
3.1,0.33,24,0.146153846,0.853846154
3.2,0.33,24,0.170245399,0.829754601
3.3,0.33,24,0.232277526,0.767722474
3.4,0.33,24,0.297985154,0.702014846
3.5,0.33,24,0.318181818,0.681818182
3.6,0.33,24,0.388272583,0.611727417
3.7,0.33,24,0.448275862,0.551724138
3.8,0.33,24,0.503797468,0.496202532
3.9,0.33,24,0.515873016,0.484126984
4,0.33,24,0.546546547,0.453453454
4.1,0.33,24,0.560126582,0.439873418
4.2,0.33,24,0.623966942,0.376033058
4.3,0.33,24,0.62295082,0.37704918
4.4,0.33,24,0.637554585,0.362445415
4.5,0.33,24,0.716981132,0.283018868
4.6,0.33,24,0.768595041,0.231404959
4.7,0.33,24,0.8,0.2
4.8,0.33,24,0.810526316,0.189473684
4.9,0.33,24,0.810526316,0.189473684
5,0.33,24,0.810526316,0.189473684
0.1,0.33,30,0,1
0.2,0.33,30,0,1
0.3,0.33,30,0,1
0.4,0.33,30,0,1
0.5,0.33,30,0,1
0.6,0.33,30,0,1
0.7,0.33,30,0,1
0.8,0.33,30,0,1
0.9,0.33,30,0,1
1,0.33,30,0,1
1.1,0.33,30,0,1
1.2,0.33,30,0,1
1.3,0.33,30,0,1
1.4,0.33,30,0,1
1.5,0.33,30,0,1
1.6,0.33,30,0,1
1.7,0.33,30,0,1
1.8,0.33,30,0,1
1.9,0.33,30,0,1
2,0.33,30,0,1
2.1,0.33,30,0,1
2.2,0.33,30,0,1
2.3,0.33,30,0,1
2.4,0.33,30,0,1
2.5,0.33,30,0.0001,0.9999
2.6,0.33,30,0.0004,0.9996
2.7,0.33,30,0.0034,0.9966
2.8,0.33,30,0.0102,0.9898
2.9,0.33,30,0.0245,0.9755
3,0.33,30,0.043766427,0.956233573
3.1,0.33,30,0.072065091,0.927934909
3.2,0.33,30,0.107920193,0.892079807
3.3,0.33,30,0.159338061,0.840661939
3.4,0.33,30,0.187644342,0.812355658
3.5,0.33,30,0.246933769,0.753066231
3.6,0.33,30,0.288016113,0.711983887
3.7,0.33,30,0.327649208,0.672350792
3.8,0.33,30,0.4,0.6
3.9,0.33,30,0.413732394,0.586267606
4,0.33,30,0.44510978,0.55489022
4.1,0.33,30,0.518716578,0.481283423
4.2,0.33,30,0.550151976,0.449848024
4.3,0.33,30,0.502525253,0.497474748
4.4,0.33,30,0.581314879,0.418685121
4.5,0.33,30,0.658653846,0.341346154
4.6,0.33,30,0.649769585,0.350230415
4.7,0.33,30,0.65258216,0.34741784
4.8,0.33,30,0.668341709,0.331658292
4.9,0.33,30,0.666666667,0.333333333
5,0.33,30,0.63362069,0.36637931
0.1,0.125,12,0,1
0.2,0.125,12,0,1
0.3,0.125,12,0,1
0.4,0.125,12,0,1
0.5,0.125,12,0.0001,0.9999
0.6,0.125,12,0.0016,0.9984
0.7,0.125,12,0.0118,0.9882
0.8,0.125,12,0.0332,0.9668
0.9,0.125,12,0.079048843,0.920951157
1,0.125,12,0.147668394,0.852331606
1.1,0.125,12,0.23019432,0.76980568
1.2,0.125,12,0.337579618,0.662420382
1.3,0.125,12,0.475113122,0.524886878
1.4,0.125,12,0.485849057,0.514150943
1.5,0.125,12,0.575757576,0.424242424
1.6,0.125,12,0.645454545,0.354545455
1.7,0.125,12,0.719745223,0.280254777
1.8,0.125,12,0.742857143,0.257142857
1.9,0.125,12,0.775862069,0.224137931
2,0.125,12,0.796116505,0.203883495
2.1,0.125,12,0.8,0.2
2.2,0.125,12,0.861538462,0.138461539
2.3,0.125,12,0.906976744,0.093023256
2.4,0.125,12,0.918918919,0.081081081
2.5,0.125,12,0.933333333,0.066666667
2.6,0.125,12,0.933333333,0.066666667
2.7,0.125,12,0.933333333,0.066666667
2.8,0.125,12,0.952380952,0.047619048
2.9,0.125,12,0.952380952,0.047619048
3,0.125,12,0.964285714,0.035714286
3.1,0.125,12,0.966666667,0.033333333
3.2,0.125,12,0.966666667,0.033333333
3.3,0.125,12,0.966666667,0.033333333
3.4,0.125,12,0.966666667,0.033333333
3.5,0.125,12,0.966666667,0.033333333
3.6,0.125,12,0.966666667,0.033333333
3.7,0.125,12,0.966666667,0.033333333
3.8,0.125,12,0.96875,0.03125
3.9,0.125,12,0.96875,0.03125
4,0.125,12,0.96875,0.03125
4.1,0.125,12,0.96875,0.03125
4.2,0.125,12,0.96875,0.03125
4.3,0.125,12,0.96875,0.03125
4.4,0.125,12,0.96875,0.03125
4.5,0.125,12,0.96875,0.03125
4.6,0.125,12,0.96875,0.03125
4.7,0.125,12,0.96875,0.03125
4.8,0.125,12,0.96875,0.03125
4.9,0.125,12,0.96875,0.03125
5,0.125,12,0.96875,0.03125
0.1,0.125,18,0,1
0.2,0.125,18,0,1
0.3,0.125,18,0,1
0.4,0.125,18,0,1
0.5,0.125,18,0,1
0.6,0.125,18,0.0002,0.9998
0.7,0.125,18,0.0028,0.9972
0.8,0.125,18,0.0112,0.9888
0.9,0.125,18,0.0347,0.9653
1,0.125,18,0.077602524,0.922397476
1.1,0.125,18,0.13916902,0.86083098
1.2,0.125,18,0.241845664,0.758154336
1.3,0.125,18,0.330049261,0.669950739
1.4,0.125,18,0.40066778,0.59933222
1.5,0.125,18,0.488095238,0.511904762
1.6,0.125,18,0.608527132,0.391472868
1.7,0.125,18,0.612648221,0.387351779
1.8,0.125,18,0.732876712,0.267123288
1.9,0.125,18,0.73943662,0.26056338
2,0.125,18,0.775862069,0.224137931
2.1,0.125,18,0.825581395,0.174418605
2.2,0.125,18,0.835443038,0.164556962
2.3,0.125,18,0.835443038,0.164556962
2.4,0.125,18,0.868852459,0.131147541
2.5,0.125,18,0.886792453,0.113207547
2.6,0.125,18,0.906976744,0.093023256
2.7,0.125,18,0.918918919,0.081081081
2.8,0.125,18,0.933333333,0.066666667
2.9,0.125,18,0.952380952,0.047619048
3,0.125,18,0.952380952,0.047619048
3.1,0.125,18,0.952380952,0.047619048
3.2,0.125,18,0.952380952,0.047619048
3.3,0.125,18,0.952380952,0.047619048
3.4,0.125,18,0.952380952,0.047619048
3.5,0.125,18,0.952380952,0.047619048
3.6,0.125,18,0.952380952,0.047619048
3.7,0.125,18,0.952380952,0.047619048
3.8,0.125,18,0.952380952,0.047619048
3.9,0.125,18,0.952380952,0.047619048
4,0.125,18,0.952380952,0.047619048
4.1,0.125,18,0.952380952,0.047619048
4.2,0.125,18,0.952380952,0.047619048
4.3,0.125,18,0.952380952,0.047619048
4.4,0.125,18,0.952380952,0.047619048
4.5,0.125,18,0.952380952,0.047619048
4.6,0.125,18,0.952380952,0.047619048
4.7,0.125,18,0.952380952,0.047619048
4.8,0.125,18,0.952380952,0.047619048
4.9,0.125,18,0.952380952,0.047619048
5,0.125,18,0.952380952,0.047619048
0.1,0.125,24,0,1
0.2,0.125,24,0,1
0.3,0.125,24,0,1
0.4,0.125,24,0,1
0.5,0.125,24,0,1
0.6,0.125,24,0,1
0.7,0.125,24,0.0001,0.9999
0.8,0.125,24,0.0017,0.9983
0.9,0.125,24,0.0104,0.9896
1,0.125,24,0.0346,0.9654
1.1,0.125,24,0.07635163,0.92364837
1.2,0.125,24,0.12988463,0.87011537
1.3,0.125,24,0.211229947,0.788770054
1.4,0.125,24,0.321893491,0.678106509
